year,school,rank
2005,Florida State,23
2005,Nebraska,24
2005,California,25
2006,Florida,1
2006,Ohio State,2
2006,LSU,3
2006,USC,4
2006,Boise State,5
2006,Louisville,6
2006,Wisconsin,7
2006,Michigan,8
2006,Auburn,9
2006,West Virginia,10
2006,Oklahoma,11
2006,Rutgers,12
2006,Texas,13
2006,California,14
2006,Arkansas,15
2006,BYU,16
2006,Notre Dame,17
2006,Wake Forest,18
2006,Virginia Tech,19
2006,Boston College,20
2006,Oregon State,21
2006,TCU,22
2006,Georgia,23
2006,Penn State,24
2006,Tennessee,25
2007,LSU,1
2007,Georgia,2
2007,USC,3
2007,Missouri,4
2007,Ohio State,5
2007,West Virginia,6
2007,Kansas,7
2007,Oklahoma,8
2007,Virginia Tech,9
2007,Texas,10
2007,Boston College,10
2007,Tennessee,12
2007,Florida,13
2007,BYU,14
2007,Auburn,15
2007,Arizona State,16
2007,Cincinnati,17
2007,Michigan,18
2007,Hawai'i,19
2007,Illinois,20
2007,Clemson,21
2007,Texas Tech,22
2007,Oregon,23
2007,Wisconsin,24
2007,Oregon State,25
2008,Florida,1
2008,Utah,2
2008,USC,3
2008,Texas,4
2008,Oklahoma,5
2008,Alabama,6
2008,TCU,7
2008,Penn State,8
2008,Ohio State,9
2008,Oregon,10
2008,Boise State,11
2008,Texas Tech,12
2008,Georgia,13
2008,Ole Miss,14
2008,Virginia Tech,15
2008,Oklahoma State,16
2008,Cincinnati,17
2008,Oregon State,18
2008,Missouri,19
2008,Iowa,20
2008,Florida State,21
2008,Georgia Tech,22
2008,West Virginia,23
2008,Michigan State,24
2008,BYU,25
2009,Alabama,1
2009,Texas,2
2009,Florida,3
2009,Boise State,4
2009,Ohio State,5
2009,TCU,6
2009,Iowa,7
2009,Cincinnati,8
2009,Penn State,9
2009,Virginia Tech,10
2009,Oregon,11
2009,BYU,12
2009,Georgia Tech,13
2009,Nebraska,14
2009,Pittsburgh,15
2009,Wisconsin,16
2009,LSU,17
2009,Utah,18
2009,Miami,19
2009,Ole Miss,20
2009,Texas Tech,21
2009,USC,22
2009,Central Michigan,23
2009,Clemson,24
2009,West Virginia,25
2010,Auburn,1
2010,TCU,2
2010,Oregon,3
2010,Stanford,4
2010,Ohio State,5
2010,Oklahoma,6
2010,Wisconsin,7
2010,LSU,8
2010,Boise State,9
2010,Alabama,10
2010,Nevada,11
2010,Arkansas,12
2010,Oklahoma State,13
2010,Michigan State,14
2010,Mississippi State,15
2010,Virginia Tech,16
2010,Florida State,17
2010,Missouri,18
2010,Texas A&M,19
2010,Nebraska,20
2010,UCF,21
2010,South Carolina,22
2010,Maryland,23
2010,Tulsa,24
2010,NC State,25
2011,Alabama,1
2011,LSU,2
2011,Oklahoma State,3
2011,Oregon,4
2011,Arkansas,5
2011,USC,6
2011,Stanford,7
2011,Boise State,8
2011,South Carolina,9
2011,Wisconsin,10
2011,Michigan State,11
2011,Michigan,12
2011,Baylor,13
2011,TCU,14
2011,Kansas State,15
2011,Oklahoma,16
2011,West Virginia,17
2011,Houston,18
2011,Georgia,19
2011,Southern Mississippi,20
2011,Virginia Tech,21
2011,Clemson,22
2011,Florida State,23
2011,Nebraska,24
2011,Cincinnati,25
2012,Alabama,1
2012,Oregon,2
2012,Ohio State,3
2012,Notre Dame,4
2012,Georgia,5
2012,Texas A&M,5
2012,Stanford,7
2012,South Carolina,8
2012,Florida,9
2012,Florida State,10
2012,Clemson,11
2012,Kansas State,12
2012,Louisville,13
2012,LSU,14
2012,Oklahoma,15
2012,Utah State,16
2012,Northwestern,17
2012,Boise State,18
2012,Texas,19
2012,Oregon State,20
2012,San José State,21
2012,Northern Illinois,22
2012,Vanderbilt,23
2012,Michigan,24
2012,Nebraska,25
2013,Florida State,1
2013,Auburn,2
2013,Michigan State,3
2013,South Carolina,4
2013,Missouri,5
2013,Oklahoma,6
2013,Alabama,7
2013,Clemson,8
2013,Oregon,9
2013,UCF,10
2013,Stanford,11
2013,Ohio State,12
2013,Baylor,13
2013,LSU,14
2013,Louisville,15
2013,UCLA,16
2013,Oklahoma State,17
2013,Texas A&M,18
2013,USC,19
2013,Notre Dame,20
2013,Arizona State,21
2013,Wisconsin,22
2013,Duke,23
2013,Vanderbilt,24
2013,Washington,25
